td0 starting with the finishing point from td1 and learning rate 0.0015 * 1e-12

V(θ[113],x₀) = 0.5918 and V(θ[113],xₜ) = -257.094, Reward = 2093.0377, θ = [0.644427, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[114],x₀) = 0.5918 and V(θ[114],xₜ) = 64186.4253, Reward = 80472.2051, θ = [0.644426, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[115],x₀) = 0.5918 and V(θ[115],xₜ) = -257.0918, Reward = 847.4913, θ = [0.644426, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[116],x₀) = 0.5918 and V(θ[116],xₜ) = -64700.6006, Reward = -80814.2465, θ = [0.644426, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[117],x₀) = 0.5918 and V(θ[117],xₜ) = -190103.1988, Reward = -235055.1786, θ = [0.644423, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[118],x₀) = 0.5918 and V(θ[118],xₜ) = -326075.1638, Reward = -409081.2727, θ = [0.644417, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[119],x₀) = 0.5918 and V(θ[119],xₜ) = 260990.3504, Reward = 337000.6713, θ = [0.644418, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[120],x₀) = 0.5918 and V(θ[120],xₜ) = 645.093, Reward = -880.2749, θ = [0.644418, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[121],x₀) = 0.5918 and V(θ[121],xₜ) = 64443.2758, Reward = 81889.1999, θ = [0.644418, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[122],x₀) = 0.5918 and V(θ[122],xₜ) = -64442.081, Reward = -81886.0737, θ = [0.644418, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[123],x₀) = 0.5918 and V(θ[123],xₜ) = 254539.5106, Reward = 292779.8405, θ = [0.644401, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[124],x₀) = 0.5918 and V(θ[124],xₜ) = -259048.5745, Reward = -331787.1236, θ = [0.644401, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
